name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melitopol,2022-04-05,10.6,0.4,5.5,10.6,-1.9,2.9,-1.5,62.8,0,0,0,,0,0,46.4,25.6,204.4,1014.5,40,24.1,259.1,22.4,8,10,2022-04-05T06:10:24,2022-04-05T19:12:58,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
melitopol,2022-04-06,15.6,2.7,8.4,15.6,-0.3,6.7,3.5,74.2,0,0,0,,0,0,41.8,20.5,227.2,1013.8,40.6,24.1,245.7,21.2,8,10,2022-04-06T06:08:28,2022-04-06T19:14:20,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-07,15.8,3.1,9.7,15.8,3.1,9.5,3.6,69.6,0,0,0,,0,0,43.6,23,128.1,1012.2,29,24.1,260.3,22.5,8,10,2022-04-07T06:06:32,2022-04-07T19:15:42,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
melitopol,2022-04-08,12.1,6.7,9.7,12.1,4.5,8.7,6.7,81.7,2.2,100,16.67,rain,0,0,30.2,16.2,139.2,1000.4,85.6,24.1,52.2,4.5,4,10,2022-04-08T06:04:36,2022-04-08T19:17:04,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
melitopol,2022-04-09,17.1,6,11.1,17.1,5.2,10.6,7.3,78.9,0,0,0,,0,0,41,22,182.5,1008.2,91.2,24.1,234.3,20,7,10,2022-04-09T06:02:42,2022-04-09T19:18:27,0.26,Overcast,Cloudy skies throughout the day.,cloudy,remote
melitopol,2022-04-10,17.5,7.7,11.8,17.5,5.8,10.9,6.5,71.6,0,0,0,,0,0,33.1,17.3,144.3,1007.3,63.1,24.1,239.7,20.6,7,10,2022-04-10T06:00:47,2022-04-10T19:19:49,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-11,20.8,6.3,12.3,20.8,5.2,11.8,6.3,68.4,0.9,100,20.83,rain,0,0,41.8,22.3,10,1003.7,86,23.8,216.3,18.7,7,10,2022-04-11T05:58:53,2022-04-11T19:21:11,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
melitopol,2022-04-12,7.8,5.4,6.8,4.5,1.2,3,2.4,74.2,0.4,100,12.5,rain,0,0,54.7,29.9,304.4,1005.5,99.7,24,67.6,5.9,2,10,2022-04-12T05:57:00,2022-04-12T19:22:33,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
melitopol,2022-04-13,9.6,3.2,5.7,7.6,-2.1,1.7,2.7,81.3,16.4,100,62.5,"rain,snow",0.9,0.3,51.8,28.4,283.6,1006.8,99.8,16.4,15.5,1.2,1,10,2022-04-13T05:55:07,2022-04-13T19:23:55,0.44,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,remote
melitopol,2022-04-14,12.7,9,10.8,12.7,6.5,10,8,83.5,0.6,100,16.67,rain,0,0,42.8,23,339.7,1012.3,90.7,22.3,107.1,9.4,5,10,2022-04-14T05:53:15,2022-04-14T19:25:17,0.47,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,remote
melitopol,2022-04-15,15.9,5.1,10.6,15.9,5.1,10.4,7.4,81.6,0,0,0,rain,0,0,30.6,15.8,207.6,1020.3,44.2,24.1,165.9,14.2,7,10,2022-04-15T05:51:24,2022-04-15T19:26:40,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-16,14.2,7.2,10.4,14.2,6.4,9.9,7.8,85.1,0,0,0,,0,0,37.1,19.8,170.2,1017.5,80.2,24.1,244,21.1,8,10,2022-04-16T05:49:34,2022-04-16T19:28:02,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-17,14.8,6.1,10.5,14.8,6.1,10.2,7.9,84.2,0,0,0,,0,0,29.9,16.6,353.5,1015,97.1,24.1,210,18.2,7,10,2022-04-17T05:47:44,2022-04-17T19:29:24,0.51,Overcast,Cloudy skies throughout the day.,cloudy,remote
melitopol,2022-04-18,16.4,7.9,10.8,16.4,5.2,9.4,8.4,85.8,1.6,100,29.17,rain,0,0,35.6,19.4,11.7,1007,91.9,22.5,186.5,16.1,8,10,2022-04-18T05:45:55,2022-04-18T19:30:46,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,remote
melitopol,2022-04-19,11.2,7.2,8.9,11.2,4.9,7.9,6.9,87.5,1.2,100,16.67,rain,0,0,24.5,14.4,283.5,1007.5,95.2,24.1,103.5,8.8,6,10,2022-04-19T05:44:07,2022-04-19T19:32:08,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
melitopol,2022-04-20,13.1,4.4,8.6,13.1,2.5,7.4,3.5,72.7,0,0,0,rain,0,0,46.4,25.6,233.2,1013.2,68.5,23.5,244.8,21.1,8,10,2022-04-20T05:42:19,2022-04-20T19:33:30,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-21,10.5,3.1,6.5,10.5,2.3,5.8,4,84.4,4.2,100,29.17,rain,0,0,32.8,16.9,140.3,1016.4,84,22.7,95.1,8.4,4,10,2022-04-21T05:40:33,2022-04-21T19:34:52,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
melitopol,2022-04-22,14.2,2.9,8.1,14.2,2.9,8,4.5,80,0,0,0,,0,0,24.1,12.6,201.6,1019.3,50.3,24.1,238.2,20.3,8,10,2022-04-22T05:38:47,2022-04-22T19:36:13,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-23,12.4,5.4,9.3,12.4,3.9,8.6,5.8,79.5,1.5,100,16.67,rain,0,0,45.4,23,119.8,1015.8,75.1,24.1,194.8,16.9,7,10,2022-04-23T05:37:03,2022-04-23T19:37:35,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
melitopol,2022-04-24,20.1,9.1,14.4,20.1,8,14.1,9.5,73.6,0,0,0,,0,0,27.7,14.4,229.2,1010.8,44.2,23.9,270.5,23.3,9,10,2022-04-24T05:35:19,2022-04-24T19:38:57,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-25,21.4,8,15,21.4,8,15,10,74.5,0,0,0,,0,0,29.5,15.5,123.6,1012,25,24.1,292,25.3,9,10,2022-04-25T05:33:36,2022-04-25T19:40:18,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-26,24.1,7.8,16.3,24.1,7.8,16.3,9.2,66.8,0,0,0,,0,0,27.4,14.4,276.7,1010.8,34.7,24.1,290.2,25,9,10,2022-04-26T05:31:55,2022-04-26T19:41:40,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
melitopol,2022-04-27,21,11.8,16.2,21,11.8,16.2,8.5,61.7,0,0,0,,0,0,31,16.6,337.9,1016.2,45.5,24.1,289,25.2,8,10,2022-04-27T05:30:14,2022-04-27T19:43:01,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-28,21.4,9.4,15.5,21.4,7.9,15.3,6.5,57.1,0,0,0,,0,0,31.7,16.6,25.7,1020,27.4,24.1,298.3,25.7,9,10,2022-04-28T05:28:35,2022-04-28T19:44:22,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-29,22,9.7,15.7,22,8,15.6,5.5,52.5,0,0,0,,0,0,36.4,20.2,44.1,1020.5,53.9,24.1,237.3,20.5,8,10,2022-04-29T05:26:57,2022-04-29T19:45:43,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-30,19.3,10.1,14.1,19.3,10.1,14.1,4.3,52.8,0,0,0,,0,0,37.1,20.2,27.3,1019.6,68.1,24.1,237.9,20.4,9,10,2022-04-30T05:25:20,2022-04-30T19:47:04,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-01,18.4,8.8,13.5,18.4,6.8,13,1.8,46.8,0,0,0,,0,0,33.1,16.9,38.1,1020.3,69.2,24.1,258.1,22.2,8,10,2022-05-01T05:23:45,2022-05-01T19:48:24,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-02,16.2,7.7,12.1,16.2,6.7,11.8,2.9,54.7,0.1,100,4.17,rain,0,0,26.3,13.7,108.3,1020.2,55.6,23.2,244.5,21.2,8,10,2022-05-02T05:22:10,2022-05-02T19:49:45,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
melitopol,2022-05-03,16.7,5,11,16.7,5,11,3.8,63.4,0,0,0,rain,0,0,32.4,14.4,98.4,1017,53,24.1,231.5,19.9,7,10,2022-05-03T05:20:37,2022-05-03T19:51:05,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-04,19,5.6,12.3,19,4.4,12.2,4.8,63.3,0,0,0,rain,0,0,17.6,10.4,22.8,1014.5,72.9,24.1,232.9,20.1,7,10,2022-05-04T05:19:06,2022-05-04T19:52:24,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-05,19.3,10.4,14.5,19.3,10.4,14.5,5.8,58.9,0,0,0,rain,0,0,42.1,22.7,26.8,1016.9,64.1,23.7,197,17.1,6,10,2022-05-05T05:17:36,2022-05-05T19:53:44,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-06,18.3,8,12.9,18.3,5.4,12.3,0.2,42.9,0,0,0,,0,0,39.2,20.9,59.9,1024.4,60.8,24.1,283.7,24.7,9,10,2022-05-06T05:16:07,2022-05-06T19:55:03,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-07,18.3,5.5,11.7,18.3,2.8,10.9,-2.1,40.7,0,0,0,,0,0,40,20.9,72.3,1024.9,38.8,24.1,298.3,25.9,9,10,2022-05-07T05:14:40,2022-05-07T19:56:22,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-08,21.1,5.5,12.9,21.1,4,12.5,-0.2,44.2,0,0,0,,0,0,33.1,15.5,59.8,1023.8,0.1,24.1,328.5,28.4,9,10,2022-05-08T05:13:14,2022-05-08T19:57:40,0.22,Clear,Clear conditions throughout the day.,clear-day,remote
melitopol,2022-05-09,24,5.7,15.2,24,5.7,15.2,4.6,53.6,0,0,0,,0,0,42.5,22.3,311.9,1019.6,32.3,24.1,296.5,25.9,9,10,2022-05-09T05:11:50,2022-05-09T19:58:58,0.27,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
melitopol,2022-05-10,17.6,7.9,13.2,17.6,6.2,12.9,-0.7,41.7,0,0,0,,0,0,37.4,18,342.5,1019.7,34.8,24.1,313.6,27.1,9,10,2022-05-10T05:10:27,2022-05-10T20:00:15,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-11,18.6,5.3,12.5,18.6,4.4,12.3,-1,41.4,0,0,0,rain,0,0,33.5,16.6,306.4,1019.2,40.9,24.1,299.5,26,9,10,2022-05-11T05:09:06,2022-05-11T20:01:32,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-12,23.5,6.9,15.1,23.5,5.3,14.6,2.8,47.1,0,0,0,,0,0,39.2,20.2,249.1,1019.8,20.2,24.1,321.2,27.7,9,10,2022-05-12T05:07:47,2022-05-12T20:02:48,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-13,27.1,10.3,18.9,26.9,10.3,18.9,9.9,58.3,0.1,100,4.17,rain,0,0,47.5,20.9,244.9,1016.4,55,24.1,273.9,23.5,8,10,2022-05-13T05:06:29,2022-05-13T20:04:03,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
melitopol,2022-05-14,21,12.3,16.1,21,12.3,16.1,12,77.4,9.2,100,33.33,rain,0,0,37.1,20.2,257.5,1011.9,90.7,23.9,158.1,13.6,7,10,2022-05-14T05:05:14,2022-05-14T20:05:18,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
melitopol,2022-05-15,20.9,12.8,17,20.9,12.8,17,9.1,63.4,0,0,0,,0,0,38.9,20.5,305.7,1013.4,31.5,24.1,320.3,27.8,9,10,2022-05-15T05:04:00,2022-05-15T20:06:32,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-16,21,12.2,16.5,21,12.2,16.5,6,52.6,0,0,0,,0,0,33.8,17.3,307.4,1015.8,63.5,24.1,311.6,26.9,9,10,2022-05-16T05:02:48,2022-05-16T20:07:46,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-17,21.4,11.3,16.4,21.4,11.3,16.4,6.3,52.9,0,0,0,rain,0,0,25.2,13,302.1,1014.6,82.9,23.5,190.2,16.2,9,10,2022-05-17T05:01:37,2022-05-17T20:08:59,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-18,14.1,11.9,13.3,14.1,11.9,13.3,10.2,82,20.6,100,66.67,rain,0,0,35.6,18.7,28.7,1010.8,98.5,19.3,53.5,4.7,3,10,2022-05-18T05:00:29,2022-05-18T20:10:11,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
melitopol,2022-05-19,17.3,10.6,14.2,17.3,10.6,14.2,10.7,79.9,0.8,100,16.67,rain,0,0,24.1,12.2,22.8,1016.8,97.9,18.1,98.2,8.4,5,10,2022-05-19T04:59:23,2022-05-19T20:11:21,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
melitopol,2022-05-20,23.1,11.1,16.9,23.1,11.1,16.9,7.2,55.3,0,0,0,rain,0,0,31.3,15.5,36.4,1020.3,38.7,24.1,287.4,24.7,9,10,2022-05-20T04:58:18,2022-05-20T20:12:32,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-05-21,26.2,10.4,17.4,26.2,10.4,17.4,7.6,55.9,0,0,0,,0,0,61.6,33.5,216.6,1014.5,60.9,24.1,305.1,26.3,8,10,2022-05-21T04:57:16,2022-05-21T20:13:41,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
